p_raw,p_cal,attack
0.998878,0.957473,A11
0.999858,0.994423,A14
0.999519,0.981346,A16
1.0,0.996062,A09
0.964366,0.406406,A13
0.007561,0.000193,none
0.999995,0.996062,A09
4e-06,3e-06,none
0.999999,0.996062,A12
0.145773,0.004299,A18
0.998954,0.960254,A13
0.999983,0.996062,A16
0.00476,0.000121,A15
1.0,0.996062,A08
8e-06,3e-06,A17
0.007575,0.000193,none
0.94185,0.29066,A08
2.1e-05,3e-06,none
0.996102,0.866042,A16
0.999911,0.996062,A10
0.578198,0.033517,A13
0.008299,0.000212,A17
0.000387,1e-05,A18
0.999913,0.996062,A14
0.406226,0.017013,A13
0.949455,0.322134,A15
1e-06,3e-06,A17
0.995842,0.858339,A13
0.999756,0.990428,A16
1.4e-05,3e-06,A17
0.999666,0.986974,A13
0.998837,0.955998,A18
0.99991,0.996062,A11
0.865278,0.139775,A13
0.976964,0.517591,A10
0.999382,0.976159,A14
0.999043,0.963506,A07
0.999693,0.98799,A10
0.000149,4e-06,A17
1e-06,3e-06,none
0.999997,0.996062,A09
0.0,3e-06,A17
0.999665,0.986942,A10
0.983868,0.606757,A10
0.999989,0.996062,A16
3.8e-05,3e-06,none
0.999989,0.996062,A12
0.999998,0.996062,A12
5e-06,3e-06,none
1.0,0.996062,A09
0.993731,0.800409,A13
0.079076,0.002168,none
4.5e-05,3e-06,A17
0.999942,0.996062,A07
0.999981,0.996062,A16
1.0,0.996062,A09
0.996403,0.875121,A10
0.981241,0.569585,A08
0.999987,0.996062,A14
0.999997,0.996062,A09
0.999993,0.996062,A07
0.964022,0.404005,A15
0.999877,0.995155,A12
0.981395,0.571637,A13
0.995308,0.842926,A13
0.999689,0.987861,A14
0.998782,0.954017,A19
0.999612,0.984872,A08
0.999999,0.996062,A12
1.0,0.996062,A09
8.5e-05,3e-06,none
0.039803,0.001048,A16
0.999156,0.96768,A15
0.997353,0.905067,A07
0.975877,0.505789,A18
0.835775,0.114065,A18
0.999891,0.995702,A11
0.991902,0.756026,A08
0.004487,0.000114,none
0.997633,0.914265,A11
0.999993,0.996062,A19
0.997109,0.89719,A07
0.999368,0.975604,A10
0.999824,0.993103,A14
0.999996,0.996062,A16
0.943176,0.29573,A10
2e-06,3e-06,none
2e-06,3e-06,none
0.996837,0.888559,A08
0.998619,0.948177,A18
0.996035,0.864054,A08
0.206575,0.006544,A18
4.5e-05,3e-06,none
0.998362,0.939085,A10
1.0,0.996062,A12
0.999996,0.996062,A07
3e-06,3e-06,none
0.946636,0.309762,A15
0.999995,0.996062,A12
0.99899,0.961559,A08
1.0,0.996062,A19
0.999995,0.996062,A09
0.787405,0.085673,A15
0.985325,0.629441,A14
0.999566,0.983123,A16
6e-06,3e-06,A17
0.993542,0.795595,A13
0.999989,0.996062,A12
1.0,0.996062,A09
0.999999,0.996062,A09
0.999999,0.996062,A12
0.999999,0.996062,A12
0.983407,0.599898,A15
0.003564,9e-05,none
0.329123,0.012259,A08
1.0,0.996062,A12
0.997349,0.904928,A16
0.968849,0.440353,A15
0.998729,0.95212,A11
0.645478,0.044033,A18
1e-06,3e-06,none
0.999993,0.996062,A11
0.999709,0.988618,A12
0.001474,3.7e-05,A17
0.075408,0.002059,A15
5.6e-05,3e-06,A17
1e-06,3e-06,none
0.99999,0.996062,A07
0.000508,1.3e-05,A17
0.99992,0.996062,A09
0.999974,0.996062,A07
0.999273,0.972038,A10
0.999855,0.994283,A11
0.996046,0.86438,A12
0.081605,0.002243,A19
0.999667,0.987015,A14
1.0,0.996062,A14
0.0,3e-06,A17
0.997066,0.895799,A07
0.996066,0.864959,A13
0.000913,2.3e-05,none
0.999992,0.996062,A15
0.99928,0.972292,A11
0.999833,0.99345,A11
0.868877,0.143572,A10
4e-06,3e-06,A17
0.99949,0.980248,A19
0.998896,0.958146,A12
0.988139,0.678209,A13
0.999855,0.994316,A10
1e-06,3e-06,none
0.648704,0.044632,A13
0.014359,0.000368,none
0.979096,0.542323,A13
1.0,0.996062,A12
0.99942,0.977563,A11
0.999977,0.996062,A19
0.121588,0.00349,A18
0.000988,2.5e-05,none
1.6e-05,3e-06,none
0.999999,0.996062,A16
0.146407,0.00432,A17
0.999883,0.995398,A08
0.999791,0.991799,A07
